ZipCode,MedianIncome,MarginOfError
01749,94191,6457
01752,86230,7556
01754,112432,13365
01756,133850,41933
01757,89273,6587
01760,123109,9450
01770,218906,43552
01772,173056,16281
01773,172891,36380
01775,147841,10148
01776,217847,10901
01778,203125,33132
01801,95184,4455
01803,124755,8607
01810,155252,10230
01821,126146,6438
01824,130215,11455
01826,94882,6981
01827,177803,18464
01830,66052,6427
01832,70910,5949
01833,130240,19760
01834,121711,15217
01835,92880,5915
01840,28347,5707
01841,47527,3211
01843,61362,9038
01844,87181,6856
01845,120954,8061
01850,59571,5515
01851,72133,4494
01852,68256,5644
01854,58422,6537
01860,88832,23350
01862,106964,17612
01863,108427,16319
01864,123813,17866
01867,145471,8649
01876,112917,8785
01879,130509,19367
01880,110878,10734
01886,161076,10444
01887,146250,10703
01890,184844,15562
01901,24207,11038
01902,53802,6714
01904,94006,9955
01905,64885,10545
01906,93737,4392
01907,112668,20936
01908,99456,3891
01913,87433,8811
01915,89076,6680
01921,186899,21645
01922,193667,83667
01923,105654,11246
01929,115670,13850
01930,82984,4116
01937,,
01938,111701,11426
01940,144116,18898
01944,193279,25632
01945,154049,9820
01949,155482,17076
01950,115807,20635
01951,122344,32554
01952,92048,16170
01960,83539,2765
01965,223570,71741
01966,88377,10371
01969,124196,12471
01970,72994,3704
01982,116955,19513
01983,155208,28719
01984,154375,25794
01985,164250,24790
02019,109042,7078
02021,118814,9344
02025,156689,32822
02026,108047,3844
02030,"250000",
02032,161292,41611
02035,95410,7663
02038,127608,7867
02043,154300,18203
02045,117120,9286
02047,93309,46411
02048,122274,10495
02050,109524,7006
02052,196820,29089
02053,147276,16185
02054,131138,9747
02056,168281,15862
02061,172022,12431
02062,96414,9534
02066,132639,17518
02067,157928,8843
02071,183894,20436
02072,94823,8817
02081,129972,9493
02090,171071,16749
02093,147201,11432
02108,151793,45491
02109,156351,28999
02110,123942,62764
02111,65587,17482
02113,100613,7183
02114,118125,11435
02115,47486,5727
02116,121967,8500
02118,71096,9662
02119,34987,6530
02120,50728,7781
02121,40732,7490
02122,77081,8730
02124,65683,5763
02125,60612,7751
02126,61180,8796
02127,131782,10105
02128,71630,4353
02129,140534,8138
02130,106153,3665
02131,93601,4045
02132,114596,8018
02133,,
02134,70021,5151
02135,85792,5385
02136,81859,8995
02138,108692,7808
02139,113374,6437
02140,119827,12807
02141,96563,16077
02142,137723,19547
02143,111201,8083
02144,117601,10691
02145,99035,7056
02148,77082,5106
02149,71574,6454
02150,64688,5189
02151,72971,5330
02152,86780,7974
02155,107937,5063
02163,67292,23874
02169,80087,5422
02170,92052,5586
02171,90558,14180
02176,125000,12335
02180,105541,9261
02184,114916,8701
02186,154125,11288
02188,98327,14736
02189,80020,7118
02190,93988,13675
02191,95846,7953
02199,106182,41388
02203,,
02205,,
02210,160000,29353
02215,58466,9404
02301,65275,3253
02302,75280,5071
02322,127953,37944
02324,107932,9311
02325,22708,11309
02330,61811,5874
02332,130260,15141
02333,110924,14387
02338,98264,18071
02339,149048,10963
02341,113500,15191
02343,89580,11162
02346,81809,4919
02347,112240,7415
02350,,
02351,113155,10730
02356,114682,12335
02357,,
02359,130015,12532
02360,97956,4701
02364,103945,14185
02366,,
02367,118098,21697
02368,87985,7530
02370,90315,10952
02375,110549,10017
02379,111964,5594
02382,94919,7163
02420,215303,24253
02421,191140,15706
02445,126832,16672
02446,109845,9942
02451,109021,10462
02452,101857,24559
02453,100167,8856
02457,,
02458,131992,20162
02459,200091,15261
02460,140000,19531
02461,181220,17991
02462,91944,48585
02464,121071,20160
02465,167330,22101
02466,137656,35757
02467,157054,19427
02468,"250000",
02472,101354,7748
02474,124375,8869
02476,127649,7111
02478,151290,11295
02481,249375,20352
02482,202396,22836
02492,190651,13264
02493,220815,46474
02494,153285,41231
02532,77221,4599
02534,,
02535,104135,17459
02536,74944,6010
02537,124167,19342
02538,88152,11360
02539,73849,20441
02540,81343,12777
02542,43929,17696
02543,79306,32536
02553,,
02554,116470,15116
02556,106167,35864
02557,67703,45959
02558,56588,26018
02559,78883,15680
02561,81983,60843
02562,110233,23930
02563,105302,10628
02564,119519,18396
02568,70197,17298
02571,72500,14707
02575,114432,47659
02576,60764,9323
02584,,
02601,57844,6618
02630,122976,17086
02631,88207,5297
02632,102733,18977
02633,95604,16330
02635,68837,13955
02637,,
02638,100063,12285
02639,46635,8468
02641,175571,106475
02642,76859,9935
02643,,
02644,115078,39972
02645,82889,8440
02646,67283,9666
02647,,
02648,111754,24648
02649,83563,9887
02650,80125,56584
02652,83468,52961
02653,79250,15081
02655,97070,20750
02657,72904,17189
02659,61302,29586
02660,69931,8947
02663,,
02664,72179,14347
02666,,
02667,90625,29724
02668,100869,8945
02670,61875,22005
02671,76719,30970
02672,71250,46096
02673,65880,9905
02675,96399,11014
02702,105515,32617
02703,81798,7635
02713,71667,62165
02715,97148,18577
